ID,Grade,Count,Type
1,5.1,0,NULL
1,5.1,13,Trad
2,5.2,0,NULL
2,5.2,39,Trad
3,5.3,0,NULL
3,5.3,17,Trad
4,5.4,0,NULL
4,5.4,3,Sport
4,5.4,80,Trad
5,5.5,0,NULL
5,5.5,8,Sport
5,5.5,42,Trad
6,5.6,0,NULL
6,5.6,14,Sport
6,5.6,79,Trad
8,5.7,0,NULL
8,5.7,44,Sport
8,5.7,105,Trad
11,5.8,0,NULL
11,5.8,62,Sport
11,5.8,84,Trad
14,5.9,0,NULL
14,5.9,48,Sport
14,5.9,75,Trad
17,5.10a,0,NULL
17,5.10a,57,Sport
17,5.10a,85,Trad
18,5.10b,0,NULL
18,5.10b,23,Trad
18,5.10b,38,Sport
19,5.10c,0,NULL
19,5.10c,7,Trad
19,5.10c,50,Sport
20,5.10d,0,NULL
20,5.10d,12,Sport
20,5.10d,17,Trad
22,5.11a,0,NULL
22,5.11a,27,Trad
22,5.11a,43,Sport
23,5.11b,0,NULL
23,5.11b,3,Trad
23,5.11b,21,Sport
24,5.11c,0,NULL
24,5.11c,1,Trad
24,5.11c,11,Sport
25,5.11d,0,NULL
25,5.11d,3,Trad
25,5.11d,7,Sport
27,5.12a,0,NULL
27,5.12a,3,Trad
27,5.12a,40,Sport
28,5.12b,0,NULL
28,5.12b,11,Sport
29,5.12c,0,NULL
29,5.12c,1,Sport
30,5.12d,0,NULL
32,5.13a,0,NULL
33,5.13b,0,NULL
34,5.13c,0,NULL
35,5.13d,0,NULL
126,5.14a,0,NULL
127,5.14b,0,NULL
128,5.14c,0,NULL
129,5.14d,0,NULL
131,5.15a,0,NULL
132,5.15b,0,NULL
133,5.15c,0,NULL
134,5.15d,0,NULL
